Date,Description,Amount,City,State
09/16,Petsmart # 1168   Card 6815,-96.16,Louisville,KY
09/16,The Home Depot #2302   Card,-38.35,Louisville,KY
09/16,2948 Richland Ave   Card 6815,-100.0,Louisville,KY
09/18,Pauls Fruit Mark 3704   Card,-58.34,Louisville,KY
09/18,Costco Whse #1238   Card 6815,-192.13,Louisville,KY
09/18,Monthly Service Fee,-12.0,,
09/18,Interest Payment,0.01,,
01/21,Payment Thank You-Mobile,-274.49,,
01/25,Payment Thank You-Mobile,-173.53,,
02/11,Payment Thank You-Mobile,-216.99,,
02/06,CITYOFSTLOUIS-PARKING 314-622-4700 MO,2.45,,
02/14,TVC PRO-DRIVER 800-288-2889 OK,59.95,,
05/07,Payment To Chase Card   0793,57.47,Ending,IN
05/23,Zelle Payment To Maccario Jom999C5Jz3B,1.0,,
05/26,Payment To Chase Card   0793,106.74,Ending,IN
05/30,Payment To Chase Card   0793,92.19,Ending,IN
01/01,Payment Thank You-Mobile,-300.0,,
01/11,AUTOMATIC PAYMENT - THANK YOU,-100.0,,
01/14,TVC PRO-DRIVER 800-288-2889 OK,59.95,,
03/11/2024,then will go to,26.49,,
09/19,Disneyplus 888-9057888 CA Card 1981,-8.23,,
09/23,2948 Richland Ave   Card 1981,-100.0,Louisville,KY
09/26,937-224-3300 OH Card,-979.93,Caresource,KY
09/27,Kroger #7 4915A Dixie   Card,-69.05,Louisville,KY
10/01,270 S Randall Rd   Card 7068,-200.0,Elgin,IL
10/05,Cigna 877 484 5967 877-484-5967 FL Card,-81.3,,
10/05,Capital   239-350-5557 OH Card,-143.8,Anesthesia,KY
10/11,Zelle Payment To Juan Constructor 15498171707,-650.0,,
10/11,Payment To Chase Card   8647,-546.92,Ending,IN
10/12,Zelle Payment From Giulio F Cantor 15521801207,1.0,,
10/14,Kroger #7 4915A Dixie   Card,-39.36,Louisville,KY
10/17,Zelle Payment From Giulio F Cantor 15562589833,700.0,,
10/17,1090 Cedar Grove Rd,-303.95,Shepherdsvill,KY
10/17,Non-Chase ATM Fee-With,-3.0,,
10/18,Interest Payment,0.17,,
02/11,AUTOMATIC PAYMENT - THANK YOU,-100.0,,
02/14,TVC PRO-DRIVER 800-288-2889 OK,59.95,,
02/17,PURCHASE INTEREST CHARGE,24.36,,
02/16,Pauls Fruit Mark 3704   Card,-63.3,Louisville,KY
02/16,Thorntons #0024 #0024   Card,-35.11,Louisville,KY
02/17,Target T- 3600 Mall Rd   Card,-67.9,Louisville,KY
02/19,Costco Whse #1238   Card 1981,-215.15,Louisville,KY
02/19,Costco Whse #1238   Card 7068,-10.05,Louisville,KY
02/19,Pauls Fruit Mark 3704   Card,-69.49,Louisville,KY
02/21,Kroger Fuel #878 4915   Card,-30.91,Louisville,KY
02/21,Kroger #785 4915A Dixi   Card,-12.36,Louisville,KY
02/22,Petsmart # 1117   Card 1981,-73.03,Louisville,KY
02/22,Kroger #3 3039 Brecken   Card,-32.33,Louisville,KY
02/23,Costco Whse #1238   Card 1981,-104.97,Louisville,KY
02/23,7335 Dixie Hwy   Card 1981,-100.0,Louisville,KY
02/25,Majestic Nails And Spa   Card 1981,-40.0,Louisville,KY
02/25,Wal-Mart #2691 New   Card 1981,-33.08,Albany,IN
02/27,Unher Earthquakerelief Madrid Card 1981,-2.0,,
02/27,Pauls Fruit Mark 3704   Card,-88.34,Louisville,KY
02/27,Thorntons #0024 #0024   Card,-32.89,Louisville,KY
02/27,Sunshine Pediatrics   Card 1981,-60.0,Louisville,KY
02/27,Zoo   Card 1981,-119.0,Louisville,KY
03/01,Sams Scan-N-Go   Card 7068,-162.58,Jeffersontown,KY
03/01,Harbor Freight Tools 2   Card,-21.18,Louisville,KY
03/01,Kroger #3 3039 Brecken   Card,-65.42,Louisville,KY
03/05,Walgreens Store 520 Ly   Card,-25.26,Lyndon,KY
03/06,Cigna 877 484 5967 877-484-5967 FL Card,-81.3,,
03/06,Hometown Hauling 502-3614446 KY Card 1981,-105.0,,
03/07,Pauls Fruit Mark 3704   Card,-68.91,Louisville,KY
03/08,Kroger #3 3039 Brecken   Card,-154.21,Louisville,KY
03/09,Dollar Tr 4060 Taylors   Card,-29.15,Louisville,KY
03/08,Igms 877-7352559 CO Card 1981,-68.17,,
03/10,Kroger Fuel #878 4915   Card,-37.49,Louisville,KY
03/13,Costco Whse #1238   Card 1981,-155.32,Louisville,KY
03/13,Target 00014795   Card 1981,-34.46,Louisville,KY
03/14,3901 S 7th St   Card 7068,-100.0,Louisville,KY
03/14,Pauls Fruit Mark 3704   Card,-48.33,Louisville,KY
03/15,Monthly Service Fee,-12.0,,
03/15,Interest Payment,0.02,,
02/11,Payment To Chase Card   0793,216.99,Ending,IN
02/26,Payment To Chase Card   0793,59.95,Ending,IN
07/27/2023,then will go to,26.24,,
09/15,Payment To Chase Card   0793,483.2,Ending,IN
09/19,u2014 Zelle Payment To Dragos Boldea 15317812605,200.0,,
09/19,Payment To Chase Card   0793,277.67,Ending,IN
03/11/2024,then will go to,26.49,,
02/16,Costco Whse #1238   Card 1981,-69.84,Louisville,KY
02/18,Costco Whse #1238   Card 1981,-121.31,Louisville,KY
02/18,Kroger #7 4915A Dixie   Card,-89.94,Louisville,KY
02/19,Disneyplus 888-9057888 CA Card 1981,-8.23,,
02/25,Petsmart # 1117   Card 1981,-127.66,Louisville,KY
02/27,Applebees N Di00908053   Card,-33.88,Louisville,KY
02/28,Target T- 4640 Taylors   Card,-54.01,Louisville,KY
02/28,Kroger #7 4915A Dixie   Card,-108.95,Louisville,KY
03/01,Kroger #785 4915A Dixi   Card,-2.07,Louisville,KY
03/01,Kroger #7 4915A Dixie   Card,-35.82,Louisville,KY
02/28,Louisville Zoo Online 502-5743211 KY Card,-119.0,,
03/02,Kohls 0251 110 Oxmoor   Card,-31.58,Louisville,KY
03/02,Old   6226 Louisville KY Card 1981,-8.48,Navy,US
03/02,Costco Whse #1238   Card 1981,-232.18,Louisville,KY
03/03,Kroger #7 4915A Dixie   Card,-19.34,Louisville,KY
03/04,Target T- 3600 Mall Rd   Card,-13.78,Louisville,KY
03/08,Kroger #7 4915A Dixie   Card,-99.0,Louisville,KY
03/08,Kroger Fuel #878 4915   Card,-40.16,Louisville,KY
03/08,Buff City Soap -Louisvi   Card 1981,-46.64,Louisville,KY
03/11,Kroger #7 4915A Dixie   Card,-93.58,Louisville,KY
03/13,Sams Scan-N-Go   Card 7068,-150.14,Jeffersontown,KY
03/13,Kroger Fuel #878 4915   Card,-48.44,Louisville,KY
03/15,Check #109,-200.0,,
03/15,Target T- 4174 Westpor   Card,-47.68,Louisville,KY
03/15,Interest Payment,0.06,,
02/26,Payment Thank You-Mobile,-59.95,,
03/03,AUTOZONE #3585,-63.59,LOUISVILLE,KY
03/03,THE HOME DEPOT 2307,528.94,LOUISVILLE,KY
03/03,AUTOZONE #0610,63.59,LOUISVILLE,KY
03/03,AUTOZONE #3585,199.17,LOUISVILLE,KY
03/06,AUTHENTIC CARIBBEAN KITC,41.45,LOUISVILLE,KY
03/07,MUTHS CANDIES INC,19.03,LOUISVILLE,KY
03/07,HONG KONG RESTAURANT,9.59,LOUISVILLE,KY
03/06,MENARDS 3373,82.87,LOUISVILLE,KY
03/08,CHAU RESTAURANT,32.98,LOUISVILLE,KY
03/09,HONG KONG RESTAURANT,14.93,LOUISVILLE,KY
03/08,SPINELLIS PIZZERIA,10.36,LOUISVILLE,KY
03/13,MARATHON PETRO165373,2.11,FLORENCE,KY
03/13,HONG KONG RESTAURANT,15.93,LOUISVILLE,KY
03/13,TA #93  FASTFO,13.23,FLORENCE,KY
03/13,LOUISVILLE LOUISVILLE KY,105.22,KENWORTH,OF
03/14,TVC PRO-DRIVER 800-288-2889 OK,59.95,,
03/14,VIETNAM KITCHEN,37.39,LOUISVILLE,KY
09/19,Panera Bread #203390 P   Card,-16.88,Amherst,OH
09/20,Zelle Payment To Citi Jom99A2Dgyhk,-7.89,,
09/20,Kroger #7 4915A Dixie   Card,-138.96,Louisville,KY
09/21,The Home Depot #2302   Card,-53.48,Louisville,KY
09/22,20480900 3131 Louisville KY Card,-9.65,Usps,PO
09/22,20480900 3131 Louisville KY Card,-75.55,Usps,PO
09/22,Kroger #7 4915A Dixie   Card,-95.34,Louisville,KY
09/23,Kroger Fuel #878 4915   Card,-34.81,Louisville,KY
09/25,Pilot #0358   Card 7068,-6.35,Paducah,KY
09/25,Pauls Fruit Mark 3704   Card,-75.37,Louisville,KY
09/25,Pilot #1126   Card 7068,-6.56,Birmingham,MO
09/26,Pilot #0358   Card 7068,-11.74,Paducah,KY
09/26,Pilot #0358   Card 7068,-2.69,Paducah,KY
09/28,Walgreens Store 4926 C   Card,-15.74,Louisville,KY
09/28,3901 S 7th St   Card 7068,-200.0,Louisville,KY
09/28,Buff City Soap - 4600   Card,-63.34,Louisville,KY
09/28,Marshalls 3500 Murstbo   Card,-75.23,Louisville,KY
09/28,Wholefds Lou 101 4944   Card,-74.91,Louisville,KY
09/28,Costco Whse #1238   Card 7068,-10.56,Louisville,KY
09/28,Costco Whse #1238   Card 7068,-116.34,Louisville,KY
09/29,20480900 3131 Louisville KY Card,-9.65,Usps,PO
09/30,Walgreens Store 580    Card,-5.87,Chesterton,IN
10/02,Kroger #7 4915A Dixie   Card,-177.23,Louisville,KY
10/03,Pauls Fruit Mark 3704   Card,-85.09,Louisville,KY
10/03,Feeders Supply   Card 6815,-48.72,Louisville,KY
10/03,Kroger #7 4915A Dixie   Card,-31.82,Louisville,KY
10/04,Acosta Truck Parts LLC   Card,-36.04,Louisville,KY
10/04,Wholefds Lou 101 4944   Card,-44.21,Louisville,KY
10/04,Bp#6468524Shop   Card 7068,-54.98,Louisville,KY
10/05,20482100 4440 Louisville KY Card,-50.0,Usps,PO
10/05,Dollartre 4800 Bardsto   Card,-56.98,Louisville,KY
10/05,Dollar Tr 4121 Shelbyv   Card,-43.73,Louisville,KY
10/05,Big Lots 4121 Shelbyv   Card,-27.53,Louisville,KY
10/08,4111 Shelbyville Rd   Card 7068,-100.0,Louisville,KY
10/08,Target T- 4174 Westpor   Card,-47.68,Louisville,KY
10/08,Kroger Fuel #838 296 Saint,-42.4,Matthew,KY
10/09,Toyota Oxmoor Toyota   Card 6815,-123.69,Louisville,KY
10/09,Kroger #7 4915A Dixie   Card,-75.28,Louisville,KY
10/11,Pauls Fruit Mark 3704   Card,-98.44,Louisville,KY
10/11,Costco Whse #1238   Card 6815,-342.27,Louisville,KY
10/11,Dollartre 4856 Cane Ru   Card,-54.33,Louisville,KY
10/11,Kroger #2 7509 Terry R   Card,-27.93,Louisville,KY
10/12,Check #359,-15.0,,
10/14,Sherwin Williams 70126   Card,-189.58,Louisville,KY
10/15,Dollartre 4800 Bardsto   Card,-14.58,Louisville,KY
10/15,Wholefds Lou 101 4944   Card,-11.98,Louisville,KY
10/16,120 W Spring St New   Card 6815,-100.0,Albany,IN
10/17,Kroger Fuel #878 4915   Card,-31.18,Louisville,KY
10/17,3901 S 7th St   Card 7068,-100.0,Louisville,KY
10/17,Monthly Service Fee,-12.0,,
10/17,Interest Payment,0.01,,
04/16,Payment Thank You-Mobile,-59.95,,
04/14,TVC PRO-DRIVER 800-288-2889 OK,59.95,,
04/17,PURCHASE INTEREST CHARGE,18.42,,
12/17,Books A Million 586   Card 7068,-45.51,Louisville,KY
12/17,Kroger #785 4915A Dixi   Card,-8.98,Louisville,KY
12/19,Kroger Fuel #878 4915   Card,-19.76,Louisville,KY
12/19,Mnrd- 9625 P   Card,-4.99,Louisville,KY
12/19,Mnrd- 9625 P   Card,-65.42,Louisville,KY
12/19,Dollar Tree   Card 6815,-5.3,Louisville,KY
12/21,Costco Whse #1238   Card 6815,-283.79,Louisville,KY
12/21,Pauls Fru 3704 Taylors   Card,-87.13,Louisville,KY
12/22,USA Fuel   Card 7068,-10.59,Russellville,KY
12/21,American Mix   Card 7068,-16.56,Lousiville,KY
12/23,20480900 3131 Louisville KY Card,-9.65,Usps,PO
12/23,Best Buy #333   Card 7068,-116.59,Louisvile,KY
12/23,Kenworth of    Card 7068,-391.99,Louisville,KY
12/26,Columbia 598   Card 7068,-61.74,Simpsonville,KY
12/27,Columbia 598   Card 7068,-130.3,Simpsonville,KY
12/27,Romans Asian Kitchen   Card,-64.0,Simpsonville,KY
12/28,Costco Whse #1238   Card 7068,-170.67,Louisville,KY
12/28,Costco Gas #1238   Card 7068,-33.73,Louisville,KY
12/28,Sams Scan-N-Go   Card 6815,-96.63,Jeffersontown,KY
12/29,Check # 363,-153.85,,
12/30,Walgreens Store 5201 S   Card,-6.49,Louisville,KY
12/30,Ikea    Card 7068,-278.45,Fishers,IN
12/30,Shell Service Station   Card,-43.49,Indianapolis,IN
12/31,Visible 866-331-3527 CO Card 7068,-25.0,,
12/31,Visible 866-331-3527 CO Card 7068,-35.0,,
01/01,Sp Hiya Health   Card 6815,-63.6,Httpshiyaheal,FL
01/01,Vietnam Kitchen   Card 7068,-57.0,Louisville,KY
01/01,Bp#6468524Shop   Card 7068,-55.67,Louisville,KY
01/03,Target T- 4174 Westpor   Card,-81.5,Louisville,KY
01/03,Wholefds Lou 101 4944   Card,-129.49,Louisville,KY
01/03,Ta # 10    Card 7068,-4.0,Gary,IN
01/04,Flying J #652   Card 7068,-1.1,Lebanon,IN
01/05,20480900 3131 Louisville KY Card,-9.65,Usps,PO
01/05,Wm Supere Wal-Mart Sup,-31.52,Louisville,KY
01/06,The Home Depot #2302   Card,-175.73,Louisville,KY
01/06,Target T- 3600 Mall Rd   Card,-91.78,Louisville,KY
01/06,Kroger #3 3039 Brecken   Card,-110.55,Louisville,KY
01/07,Walgreens Store 4926 C   Card,-17.77,Louisville,KY
01/09,Tmobile Auto Pay   Card 7068,-99.54,Bellevue,WA
01/09,Pauls Fruit Mark 3704   Card,-84.61,Louisville,KY
01/09,Costco Whse #1238   Card 7068,-338.36,Louisville,KY
01/13,Target T- 4101 Towne C   Card,-104.13,Louisville,KY
01/16,20480900 3131 Louisville KY Card,-9.65,Usps,PO
01/16,Autozone 0603 3940 Di   Card,-14.83,Louisville,KY
01/16,Costco Whse #1238   Card 6815,-216.61,Louisville,KY
01/16,Costco Gas #1238   Card 6815,-23.31,Louisville,KY
01/17,Pilot #0041 MT   Card 7068,-11.44,Sterling,KY
01/17,Monthly Service Fee,-12.0,,
01/17,Interest Payment,0.01,,
09/12,Zelle Payment To Juan Constructor 18425170716,300.0,,
09/28,__Zelle Payment To Alin Nemes 18564361447,100.0,,
05/17,Olive Garden 0021852   Card 1981,-68.86,Louisville,KY
05/19,Disneyplus 888-9057888 CA Card 1981,-8.23,,
05/26,937-224-3300 OH Card,-780.13,Caresource,KY
05/27,Cigna 877 484 5967 877-484-5967 FL Card,-81.3,,
06/01,Kroger 502-634-0724 KY Card 1981,-72.15,,
06/01,667A Ceder Grove Rd,-122.99,Shepardsville,KY
06/01,Non-Chase ATM Fee-With,-2.5,,
06/06,160 Rochester   Card 7068,-124.0,Louisville,KY
06/06,Non-Chase ATM Fee-With,-2.5,,
06/07,7923 Preston Hwy   Card 1981,-140.0,Louisville,KY
06/07,Kroger Fuel #878 4915   Card,-55.25,Louisville,KY
06/09,Samsclub #8111   Card 7068,-184.98,Jeffersontown,KY
06/10,7403 3Rd Street Rd   Card 7068,-200.0,Louisville,KY
06/13,Payment To Chase Card   0793,-758.16,Ending,IN
06/15,Interest Payment,0.35,,
02/16,Pauls Fruit Mark 3704   Card,-63.3,Louisville,KY
02/16,Thorntons #0024 #0024   Card,-35.11,Louisville,KY
02/17,Target T- 3600 Mall Rd   Card,-67.9,Louisville,KY
02/19,Costco Whse #1238   Card 1981,-215.15,Louisville,KY
02/19,Costco Whse #1238   Card 7068,-10.05,Louisville,KY
02/19,Pauls Fruit Mark 3704   Card,-69.49,Louisville,KY
02/21,Kroger Fuel #878 4915   Card,-30.91,Louisville,KY
02/21,Kroger #785 4915A Dixi   Card,-12.36,Louisville,KY
02/22,Petsmart # 1117   Card 1981,-73.03,Louisville,KY
02/22,Kroger #3 3039 Brecken   Card,-32.33,Louisville,KY
02/23,Costco Whse #1238   Card 1981,-104.97,Louisville,KY
02/23,7335 Dixie Hwy   Card 1981,-100.0,Louisville,KY
02/25,Majestic Nails And Spa   Card 1981,-40.0,Louisville,KY
02/25,Wal-Mart #2691 New   Card 1981,-33.08,Albany,IN
02/27,Unher Earthquakerelief Madrid Card 1981,-2.0,,
02/27,Pauls Fruit Mark 3704   Card,-88.34,Louisville,KY
02/27,Thorntons #0024 #0024   Card,-32.89,Louisville,KY
02/27,Sunshine Pediatrics   Card 1981,-60.0,Louisville,KY
02/27,Zoo   Card 1981,-119.0,Louisville,KY
03/01,Sams Scan-N-Go   Card 7068,-162.58,Jeffersontown,KY
03/01,Harbor Freight Tools 2   Card,-21.18,Louisville,KY
03/01,Kroger #3 3039 Brecken   Card,-65.42,Louisville,KY
03/05,Walgreens Store 520 Ly   Card,-25.26,Lyndon,KY
03/06,Cigna 877 484 5967 877-484-5967 FL Card,-81.3,,
03/06,Hometown Hauling 502-3614446 KY Card 1981,-105.0,,
03/07,Pauls Fruit Mark 3704   Card,-68.91,Louisville,KY
03/08,Kroger #3 3039 Brecken   Card,-154.21,Louisville,KY
03/09,Dollar Tr 4060 Taylors   Card,-29.15,Louisville,KY
03/08,Igms 877-7352559 CO Card 1981,-68.17,,
03/10,Kroger Fuel #878 4915   Card,-37.49,Louisville,KY
03/13,Costco Whse #1238   Card 1981,-155.32,Louisville,KY
03/13,Target 00014795   Card 1981,-34.46,Louisville,KY
03/14,3901 S 7th St   Card 7068,-100.0,Louisville,KY
03/14,Pauls Fruit Mark 3704   Card,-48.33,Louisville,KY
03/15,Monthly Service Fee,-12.0,,
03/15,Interest Payment,0.02,,
07/18,Samsclub #8276   Card 7068,-390.1,Louisville,KY
07/19,Disneyplus 888-9057888 CA Card 1981,-8.23,,
07/21,7335 Dixie Hwy   Card 1981,-40.0,Louisville,KY
07/21,Kroger #7 4915A Dixie   Card,-15.75,Louisville,KY
07/21,Kroger #7 4915A Dixie   Card,-82.27,Louisville,KY
07/22,4100 Towne   Louisville KY,-203.0,Center,DR
07/22,Non-Chase ATM Fee-With,-3.0,,
07/26,937-224-3300 OH Card,-148.24,Caresource,KY
07/26,Decluttr 678-766-1762 GA Card 1981,-127.18,,
07/27,20480900 3131 Louisville KY Card,-20.95,Usps,PO
08/05,Cigna 877 484 5967 877-484-5967 FL Card,-81.3,,
08/08,Target T- 3600 Mall Rd   Card,-157.31,Louisville,KY
08/11,Petsmart # 1117   Card 1981,-110.75,Louisville,KY
08/15,Interest Payment,0.2,,
08/07,US Treasury Tax Payme 615-730-6367 TN Card 5765,562.12,,
08/08,Zelle Payment To Alin Eremia Jom99A0F2Fdd,39.0,,
09/19,Payment Thank You-Mobile,-277.67,,
10/05,Payment Thank You-Mobile,-689.99,,
10/16,REDEMPTION CREDIT,-74.68,,
09/15,MEIJER # 164 877-363-4537 KY,44.6,,
09/15,BOB EVANS REST #0379,33.47,LOUISVILLE,KY
09/16,MARATHON PETRO156182,10.0,LOUISVILLE,KY
09/20,THORNTONS #0155,28.24,LOUISVILLE,KY
09/21,CHAU RESTAURANT,33.51,LOUISVILLE,KY
09/20,EL MEXICANO RESTAURANT,20.04,JEFFERSONVILL,IN
09/22,Mirage,51.0,Louisville,KY
09/22,THORNTONS #0155,2.0,LOUISVILLE,KY
09/24,PARC-PARKING AUTHORITY O,1.0,LOUISVILLE,KY
09/26,JEFFERSON COUNTY CLERKS,34.0,LOUISVILLE,KY
09/27,FIESTA HABANERO,31.0,AVON,OH
09/28,PILOT 00000042,4.59,AVON,OH
09/29,Subway 36763,10.91,Avon,OH
09/28,FIESTA HABANERO,30.0,AVON,OH
09/30,CIRCLE K 02225,36.48,JEFFERSONVILL,IN
10/01,SHELL O 10004999008 HOFFMAN,45.39,ESTAT,IL
10/01,FAIR  FARMS FAIR,99.06,OAKS,IN
10/04,MARATHON PETRO179291,35.78,EDINBURGH,IN
10/09,FIRST WATCH - 0490 SAINT,87.47,LOUIS,MO
10/09,QT 671 SAINT,18.32,LOUIS,MO
10/13,THOMAS CAR WASH - HURSTB,15.0,LOUISVILLE,KY
10/14,TVC PRO-DRIVER 800-288-2889 OK,59.95,,
10/13,BP#6468524SHOP   LOUISVILLE KY,57.68,N,GO
10/14,THORNTONS #0165,39.67,LOUISVILLE,KY
10/19,Disneyplus 888-9057888 CA Card 1981,-8.23,,
10/25,Sams Scan-N-Go   Card 7068,-277.07,Jeffersontown,KY
10/26,Zelle Payment From Giulio F Cantor 15629723702,725.0,,
10/26,937-224-3300 OH Card,-979.93,Caresource,KY
11/03,Sunshine Pediatrics   Card 1981,-50.0,Louisville,KY
11/03,Kroger #785   Card 1981,-40.94,Louisville,KY
11/07,Cigna 877 484 5967 877-484-5967 FL Card,-81.3,,
11/08,Kroger #785 4915A Dixi   Card,-7.45,Louisville,KY
11/08,Kroger #7 4915A Dixie   Card,-110.11,Louisville,KY
11/08,Costco Whse #1238   Card 1981,-62.67,Louisville,KY
11/12,Costco Whse #1238   Card 1981,-180.06,Louisville,KY
11/12,Pauls Fru 3704 Taylors   Card,-38.25,Louisville,KY
11/14,Wholefds Lou 101 4944   Card,-38.93,Louisville,KY
11/16,Petsmart # 1117   Card 1981,-120.18,Louisville,KY
11/16,Costco Whse #1238   Card 1981,-48.2,Louisville,KY
11/16,Wal-Mart Super Center   Card,-111.88,Louisville,KY
11/08,COSTCO WHSE #1238,1.59,LOUISVILLE,KY
11/08,CHICK-FIL-A #04264 812-288-2020 IN,19.29,,
10/23,-0- -0-  Purchases,27.49,,
10/23,-0- -0-  Cash Advances,28.74,,
10/23,-0- -0-  Balance Transfers,27.49,,
05/16,Kroger #3 5533 New Cut   Card,-68.99,Louisville,KY
05/18,2948 Richland Ave   Card 6815,-100.0,Louisville,KY
