Date,Description,Amount
08/31,Caresource KY 888-815-6446 OH Card 6815,-776.41
08/30,Sunshine Pediatrics Louisville KY Card 6815,-126.00
08/31,Becht Givens Service E 502-6361300 IN Card,-311.10
09/01,Pauls Fruit Mark 3704 Louisville KY Card,-101.74
09/01,Kroger #7 4915A Dixie Louisville KY Card,-40.31
09/02,Usps PO 20480900 3131 Louisville KY Card,-9.65
09/02,Sherwin Williams 70126 Louisville KY Card,-159.00
09/03,Wal-Mart Super Center Louisville KY Card,-27.52
09/05,Costco Whse #1238 Louisville KY Card 6815,-199.05
09/05,Greater Louisville Ym 502-587-9622 KY Card,-109.00
09/05,Hometown Hauling 502-3614446 KY Card 6815,-75.00
09/05,Sams Scan-N-Go Jeffersontown KY Card 6815,-117.69
09/06,Pilot #0004 Avon OH Card 7068,-2.50
09/06,Ta # 139 Jeffer Jeffersonvill OH Card 7068,-9.66
09/06,Ta # 139 Jeffer Jeffersonvil OH Card 7068,-8.59
09/07,Zelle Payment To Juan Constructor 18381630547,-200.00
09/07,Walgreens Store 4926 C Louisville KY Card,-14.98
09/07,Kroger #2 7509 Terry R Louisville KY Card,-36.60
09/08,Eagle Louisville Louisville KY Card 7068,-70.35
09/09,Usps PO 20480900 3131 Louisville KY Card,-9.65
09/11,Chau Restaurant Louisville KY Card 7068,-20.38
09/13,Harbor Freight Tools 4 Louisville KY Card,-116.55
09/13,3901 S 7th St Louisville KY Card 7068,-100.00
09/13,Kroger #7 4915A Dixie Louisville KY Card,-156.60
09/13,Pauls Fruit Market Tayl Louisville KY Card 6815,-102.56
09/15,Usps PO 20480900 3131 Louisville KY Card,-9.65
09/15,Whirlpool Appliances 800-253-1301 MI Card,-91.56
09/16,Columbia 598 Simpsonville KY Card 7068,-105.92
09/15,Pepper Palace Bluegra Simpsonville KY Card,-47.67
09/16,Petsmart # 1168 Louisville KY Card 6815,-96.16
09/16,The Home Depot #2302 Louisville KY Card,-38.35
09/16,2948 Richland Ave Louisville KY Card 6815,-100.00
09/18,Pauls Fruit Mark 3704 Louisville KY Card,-58.34
09/18,Costco Whse #1238 Louisville KY Card 6815,-192.13
09/18,Monthly Service Fee,-12.00
09/18,Interest Payment,0.01
01/21,Payment Thank You-Mobile,-274.49
01/25,Payment Thank You-Mobile,-173.53
02/11,Payment Thank You-Mobile,-216.99
02/06,CITYOFSTLOUIS-PARKING 314-622-4700 MO,2.45
02/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
05/07,Payment To Chase Card Ending IN 0793,57.47
05/23,Zelle Payment To Maccario Jom999C5Jz3B,1.00
05/26,Payment To Chase Card Ending IN 0793,106.74
05/30,Payment To Chase Card Ending IN 0793,92.19
01/01,Payment Thank You-Mobile,-300.00
01/11,AUTOMATIC PAYMENT - THANK YOU,-100.00
01/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
03/11/2024,then will go to,26.49
09/19,Disneyplus 888-9057888 CA Card 1981,-8.23
09/23,2948 Richland Ave Louisville KY Card 1981,-100.00
09/26,Caresource KY 937-224-3300 OH Card,-979.93
09/27,Kroger #7 4915A Dixie Louisville KY Card,-69.05
10/01,270 S Randall Rd Elgin IL Card 7068,-200.00
10/05,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
10/05,Capital Anesthesia KY 239-350-5557 OH Card,-143.80
10/11,Zelle Payment To Juan Constructor 15498171707,-650.00
10/11,Payment To Chase Card Ending IN 8647,-546.92
10/12,Zelle Payment From Giulio F Cantor 15521801207,1.00
10/14,Kroger #7 4915A Dixie Louisville KY Card,-39.36
10/17,Zelle Payment From Giulio F Cantor 15562589833,700.00
10/17,1090 Cedar Grove Rd Shepherdsvill KY,-303.95
10/17,Non-Chase ATM Fee-With,-3.00
10/18,Interest Payment,0.17
02/11,AUTOMATIC PAYMENT - THANK YOU,-100.00
02/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
02/17,PURCHASE INTEREST CHARGE,24.36
02/16,Pauls Fruit Mark 3704 Louisville KY Card,-63.30
02/16,Thorntons #0024 #0024 Louisville KY Card,-35.11
02/17,Target T- 3600 Mall Rd Louisville KY Card,-67.90
02/19,Costco Whse #1238 Louisville KY Card 1981,-215.15
02/19,Costco Whse #1238 Louisville KY Card 7068,-10.05
02/19,Pauls Fruit Mark 3704 Louisville KY Card,-69.49
02/21,Kroger Fuel #878 4915 Louisville KY Card,-30.91
02/21,Kroger #785 4915A Dixi Louisville KY Card,-12.36
02/22,Petsmart # 1117 Louisville KY Card 1981,-73.03
02/22,Kroger #3 3039 Brecken Louisville KY Card,-32.33
02/23,Costco Whse #1238 Louisville KY Card 1981,-104.97
02/23,7335 Dixie Hwy Louisville KY Card 1981,-100.00
02/25,Majestic Nails And Spa Louisville KY Card 1981,-40.00
02/25,Wal-Mart #2691 New Albany IN Card 1981,-33.08
02/27,Unher Earthquakerelief Madrid Card 1981,-2.00
02/27,Pauls Fruit Mark 3704 Louisville KY Card,-88.34
02/27,Thorntons #0024 #0024 Louisville KY Card,-32.89
02/27,Sunshine Pediatrics Louisville KY Card 1981,-60.00
02/27,Louisville Zoo Louisville KY Card 1981,-119.00
03/01,Sams Scan-N-Go Jeffersontown KY Card 7068,-162.58
03/01,Harbor Freight Tools 2 Louisville KY Card,-21.18
03/01,Kroger #3 3039 Brecken Louisville KY Card,-65.42
03/05,Walgreens Store 520 Ly Lyndon KY Card,-25.26
03/06,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
03/06,Hometown Hauling 502-3614446 KY Card 1981,-105.00
03/07,Pauls Fruit Mark 3704 Louisville KY Card,-68.91
03/08,Kroger #3 3039 Brecken Louisville KY Card,-154.21
03/09,Dollar Tr 4060 Taylors Louisville KY Card,-29.15
03/08,Igms 877-7352559 CO Card 1981,-68.17
03/10,Kroger Fuel #878 4915 Louisville KY Card,-37.49
03/13,Costco Whse #1238 Louisville KY Card 1981,-155.32
03/13,Target 00014795 Louisville KY Card 1981,-34.46
03/14,3901 S 7th St Louisville KY Card 7068,-100.00
03/14,Pauls Fruit Mark 3704 Louisville KY Card,-48.33
03/15,Monthly Service Fee,-12.00
03/15,Interest Payment,0.02
02/11,Payment To Chase Card Ending IN 0793 ,216.99
02/26,Payment To Chase Card Ending IN 0793,59.95
07/27/2023,then will go to,26.24
09/15,Payment To Chase Card Ending IN 0793,483.20
09/19,u2014 Zelle Payment To Dragos Boldea 15317812605,200.00
09/19,Payment To Chase Card Ending IN 0793,277.67
03/11/2024,then will go to,26.49
02/16,Costco Whse #1238 Louisville KY Card 1981,-69.84
02/18,Costco Whse #1238 Louisville KY Card 1981,-121.31
02/18,Kroger #7 4915A Dixie Louisville KY Card,-89.94
02/19,Disneyplus 888-9057888 CA Card 1981,-8.23
02/25,Petsmart # 1117 Louisville KY Card 1981,-127.66
02/27,Applebees N Di00908053 Louisville KY Card,-33.88
02/28,Target T- 4640 Taylors Louisville KY Card,-54.01
02/28,Kroger #7 4915A Dixie Louisville KY Card,-108.95
03/01,Kroger #785 4915A Dixi Louisville KY Card,-2.07
03/01,Kroger #7 4915A Dixie Louisville KY Card,-35.82
02/28,Louisville Zoo Online 502-5743211 KY Card,-119.00
03/02,Kohls 0251 110 Oxmoor Louisville KY Card,-31.58
03/02,Old Navy US 6226 Louisville KY Card 1981,-8.48
03/02,Costco Whse #1238 Louisville KY Card 1981,-232.18
03/03,Kroger #7 4915A Dixie Louisville KY Card,-19.34
03/04,Target T- 3600 Mall Rd Louisville KY Card,-13.78
03/08,Kroger #7 4915A Dixie Louisville KY Card,-99.00
03/08,Kroger Fuel #878 4915 Louisville KY Card,-40.16
03/08,Buff City Soap -Louisvi Louisville KY Card 1981,-46.64
03/11,Kroger #7 4915A Dixie Louisville KY Card,-93.58
03/13,Sams Scan-N-Go Jeffersontown KY Card 7068,-150.14
03/13,Kroger Fuel #878 4915 Louisville KY Card,-48.44
03/15,Check #109,-200.00
03/15,Target T- 4174 Westpor Louisville KY Card,-47.68
03/15,Interest Payment,0.06
02/26,Payment Thank You-Mobile,-59.95
03/03,AUTOZONE #3585 LOUISVILLE KY,-63.59
03/03,THE HOME DEPOT 2307 LOUISVILLE KY,528.94
03/03,AUTOZONE #0610 LOUISVILLE KY,63.59
03/03,AUTOZONE #3585 LOUISVILLE KY,199.17
03/06,AUTHENTIC CARIBBEAN KITC LOUISVILLE KY,41.45
03/07,MUTHS CANDIES INC LOUISVILLE KY,19.03
03/07,HONG KONG RESTAURANT LOUISVILLE KY,9.59
03/06,MENARDS 3373 LOUISVILLE KY,82.87
03/08,CHAU RESTAURANT LOUISVILLE KY,32.98
03/09,HONG KONG RESTAURANT LOUISVILLE KY,14.93
03/08,SPINELLIS PIZZERIA LOUISVILLE KY,10.36
03/13,MARATHON PETRO165373 FLORENCE KY,2.11
03/13,HONG KONG RESTAURANT LOUISVILLE KY,15.93
03/13,TA #93 FLORENCE FASTFO FLORENCE KY,13.23
03/13,KENWORTH OF LOUISVILLE LOUISVILLE KY,105.22
03/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
03/14,VIETNAM KITCHEN LOUISVILLE KY,37.39
09/19,Panera Bread #203390 P Amherst OH Card,-16.88
09/20,Zelle Payment To Citi Jom99A2Dgyhk,-7.89
09/20,Kroger #7 4915A Dixie Louisville KY Card,-138.96
09/21,The Home Depot #2302 Louisville KY Card,-53.48
09/22,Usps PO 20480900 3131 Louisville KY Card,-9.65
09/22,Usps PO 20480900 3131 Louisville KY Card,-75.55
09/22,Kroger #7 4915A Dixie Louisville KY Card,-95.34
09/23,Kroger Fuel #878 4915 Louisville KY Card,-34.81
09/25,Pilot #0358 Paducah KY Card 7068,-6.35
09/25,Pauls Fruit Mark 3704 Louisville KY Card,-75.37
09/25,Pilot #1126 Birmingham MO Card 7068,-6.56
09/26,Pilot #0358 Paducah KY Card 7068,-11.74
09/26,Pilot #0358 Paducah KY Card 7068,-2.69
09/28,Walgreens Store 4926 C Louisville KY Card,-15.74
09/28,3901 S 7th St Louisville KY Card 7068,-200.00
09/28,Buff City Soap - 4600 Louisville KY Card,-63.34
09/28,Marshalls 3500 Murstbo Louisville KY Card,-75.23
09/28,Wholefds Lou 101 4944 Louisville KY Card,-74.91
09/28,Costco Whse #1238 Louisville KY Card 7068,-10.56
09/28,Costco Whse #1238 Louisville KY Card 7068,-116.34
09/29,Usps PO 20480900 3131 Louisville KY Card,-9.65
09/30,Walgreens Store 580 IN Chesterton IN Card,-5.87
10/02,Kroger #7 4915A Dixie Louisville KY Card,-177.23
10/03,Pauls Fruit Mark 3704 Louisville KY Card,-85.09
10/03,Feeders Supply Louisville KY Card 6815,-48.72
10/03,Kroger #7 4915A Dixie Louisville KY Card,-31.82
10/04,Acosta Truck Parts LLC Louisville KY Card,-36.04
10/04,Wholefds Lou 101 4944 Louisville KY Card,-44.21
10/04,Bp#6468524Shop Louisville KY Card 7068,-54.98
10/05,Usps PO 20482100 4440 Louisville KY Card,-50.00
10/05,Dollartre 4800 Bardsto Louisville KY Card,-56.98
10/05,Dollar Tr 4121 Shelbyv Louisville KY Card,-43.73
10/05,Big Lots 4121 Shelbyv Louisville KY Card,-27.53
10/08,4111 Shelbyville Rd Louisville KY Card 7068,-100.00
10/08,Target T- 4174 Westpor Louisville KY Card,-47.68
10/08,Kroger Fuel #838 296 Saint Matthew KY,-42.40
10/09,Toyota Oxmoor Toyota Louisville KY Card 6815,-123.69
10/09,Kroger #7 4915A Dixie Louisville KY Card,-75.28
10/11,Pauls Fruit Mark 3704 Louisville KY Card,-98.44
10/11,Costco Whse #1238 Louisville KY Card 6815,-342.27
10/11,Dollartre 4856 Cane Ru Louisville KY Card,-54.33
10/11,Kroger #2 7509 Terry R Louisville KY Card,-27.93
10/12,Check #359,-15.00
10/14,Sherwin Williams 70126 Louisville KY Card,-189.58
10/15,Dollartre 4800 Bardsto Louisville KY Card,-14.58
10/15,Wholefds Lou 101 4944 Louisville KY Card,-11.98
10/16,120 W Spring St New Albany IN Card 6815,-100.00
10/17,Kroger Fuel #878 4915 Louisville KY Card,-31.18
10/17,3901 S 7th St Louisville KY Card 7068,-100.00
10/17,Monthly Service Fee,-12.00
10/17,Interest Payment,0.01
04/16,Payment Thank You-Mobile,-59.95
04/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
04/17,PURCHASE INTEREST CHARGE,18.42
12/17,Books A Million 586 Louisville KY Card 7068,-45.51
12/17,Kroger #785 4915A Dixi Louisville KY Card,-8.98
12/19,Kroger Fuel #878 4915 Louisville KY Card,-19.76
12/19,Mnrd-Louisville 9625 P Louisville KY Card,-4.99
12/19,Mnrd-Louisville 9625 P Louisville KY Card,-65.42
12/19,Dollar Tree Louisville KY Card 6815,-5.30
12/21,Costco Whse #1238 Louisville KY Card 6815,-283.79
12/21,Pauls Fru 3704 Taylors Louisville KY Card,-87.13
12/22,USA Fuel Russellville KY Card 7068,-10.59
12/21,American Mix Lousiville KY Card 7068,-16.56
12/23,Usps PO 20480900 3131 Louisville KY Card,-9.65
12/23,Best Buy #333 Louisvile KY Card 7068,-116.59
12/23,Kenworth of Louisville Louisville KY Card 7068,-391.99
12/26,Columbia 598 Simpsonville KY Card 7068,-61.74
12/27,Columbia 598 Simpsonville KY Card 7068,-130.30
12/27,Romans Asian Kitchen Simpsonville KY Card,-64.00
12/28,Costco Whse #1238 Louisville KY Card 7068,-170.67
12/28,Costco Gas #1238 Louisville KY Card 7068,-33.73
12/28,Sams Scan-N-Go Jeffersontown KY Card 6815,-96.63
12/29,Check # 363,-153.85
12/30,Walgreens Store 5201 S Louisville KY Card,-6.49
12/30,Ikea Fishers Fishers IN Card 7068,-278.45
12/30,Shell Service Station Indianapolis IN Card,-43.49
12/31,Visible 866-331-3527 CO Card 7068,-25.00
12/31,Visible 866-331-3527 CO Card 7068,-35.00
01/01,Sp Hiya Health Httpshiyaheal FL Card 6815,-63.60
01/01,Vietnam Kitchen Louisville KY Card 7068,-57.00
01/01,Bp#6468524Shop Louisville KY Card 7068,-55.67
01/03,Target T- 4174 Westpor Louisville KY Card,-81.50
01/03,Wholefds Lou 101 4944 Louisville KY Card,-129.49
01/03,Ta # 10 Gary Gary IN Card 7068,-4.00
01/04,Flying J #652 Lebanon IN Card 7068,-1.10
01/05,Usps PO 20480900 3131 Louisville KY Card,-9.65
01/05,Wm Supere Wal-Mart Sup Louisville KY,-31.52
01/06,The Home Depot #2302 Louisville KY Card,-175.73
01/06,Target T- 3600 Mall Rd Louisville KY Card,-91.78
01/06,Kroger #3 3039 Brecken Louisville KY Card,-110.55
01/07,Walgreens Store 4926 C Louisville KY Card,-17.77
01/09,Tmobile Auto Pay Bellevue WA Card 7068,-99.54
01/09,Pauls Fruit Mark 3704 Louisville KY Card,-84.61
01/09,Costco Whse #1238 Louisville KY Card 7068,-338.36
01/13,Target T- 4101 Towne C Louisville KY Card,-104.13
01/16,Usps PO 20480900 3131 Louisville KY Card,-9.65
01/16,Autozone 0603 3940 Di Louisville KY Card,-14.83
01/16,Costco Whse #1238 Louisville KY Card 6815,-216.61
01/16,Costco Gas #1238 Louisville KY Card 6815,-23.31
01/17,Pilot #0041 MT Sterling KY Card 7068,-11.44
01/17,Monthly Service Fee,-12.00
01/17,Interest Payment,0.01
09/12,Zelle Payment To Juan Constructor 18425170716,300.00
09/28,__Zelle Payment To Alin Nemes 18564361447,100.00
05/17,Olive Garden 0021852 Louisville KY Card 1981,-68.86
05/19,Disneyplus 888-9057888 CA Card 1981,-8.23
05/26,Caresource KY 937-224-3300 OH Card,-780.13
05/27,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
06/01,Kroger 502-634-0724 KY Card 1981,-72.15
06/01,667A Ceder Grove Rd Shepardsville KY,-122.99
06/01,Non-Chase ATM Fee-With,-2.50
06/06,160 Rochester Louisville KY Card 7068,-124.00
06/06,Non-Chase ATM Fee-With,-2.50
06/07,7923 Preston Hwy Louisville KY Card 1981,-140.00
06/07,Kroger Fuel #878 4915 Louisville KY Card,-55.25
06/09,Samsclub #8111 Jeffersontown KY Card 7068,-184.98
06/10,7403 3Rd Street Rd Louisville KY Card 7068,-200.00
06/13,Payment To Chase Card Ending IN 0793,-758.16
06/15,Interest Payment,0.35
02/16,Pauls Fruit Mark 3704 Louisville KY Card,-63.30
02/16,Thorntons #0024 #0024 Louisville KY Card,-35.11
02/17,Target T- 3600 Mall Rd Louisville KY Card,-67.90
02/19,Costco Whse #1238 Louisville KY Card 1981,-215.15
02/19,Costco Whse #1238 Louisville KY Card 7068,-10.05
02/19,Pauls Fruit Mark 3704 Louisville KY Card,-69.49
02/21,Kroger Fuel #878 4915 Louisville KY Card,-30.91
02/21,Kroger #785 4915A Dixi Louisville KY Card,-12.36
02/22,Petsmart # 1117 Louisville KY Card 1981,-73.03
02/22,Kroger #3 3039 Brecken Louisville KY Card,-32.33
02/23,Costco Whse #1238 Louisville KY Card 1981,-104.97
02/23,7335 Dixie Hwy Louisville KY Card 1981,-100.00
02/25,Majestic Nails And Spa Louisville KY Card 1981,-40.00
02/25,Wal-Mart #2691 New Albany IN Card 1981,-33.08
02/27,Unher Earthquakerelief Madrid Card 1981,-2.00
02/27,Pauls Fruit Mark 3704 Louisville KY Card,-88.34
02/27,Thorntons #0024 #0024 Louisville KY Card,-32.89
02/27,Sunshine Pediatrics Louisville KY Card 1981,-60.00
02/27,Louisville Zoo Louisville KY Card 1981,-119.00
03/01,Sams Scan-N-Go Jeffersontown KY Card 7068,-162.58
03/01,Harbor Freight Tools 2 Louisville KY Card,-21.18
03/01,Kroger #3 3039 Brecken Louisville KY Card,-65.42
03/05,Walgreens Store 520 Ly Lyndon KY Card,-25.26
03/06,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
03/06,Hometown Hauling 502-3614446 KY Card 1981,-105.00
03/07,Pauls Fruit Mark 3704 Louisville KY Card,-68.91
03/08,Kroger #3 3039 Brecken Louisville KY Card,-154.21
03/09,Dollar Tr 4060 Taylors Louisville KY Card,-29.15
03/08,Igms 877-7352559 CO Card 1981,-68.17
03/10,Kroger Fuel #878 4915 Louisville KY Card,-37.49
03/13,Costco Whse #1238 Louisville KY Card 1981,-155.32
03/13,Target 00014795 Louisville KY Card 1981,-34.46
03/14,3901 S 7th St Louisville KY Card 7068,-100.00
03/14,Pauls Fruit Mark 3704 Louisville KY Card,-48.33
03/15,Monthly Service Fee,-12.00
03/15,Interest Payment,0.02
07/18,Samsclub #8276 Louisville KY Card 7068,-390.10
07/19,Disneyplus 888-9057888 CA Card 1981,-8.23
07/21,7335 Dixie Hwy Louisville KY Card 1981,-40.00
07/21,Kroger #7 4915A Dixie Louisville KY Card,-15.75
07/21,Kroger #7 4915A Dixie Louisville KY Card,-82.27
07/22,4100 Towne Center DR Louisville KY,-203.00
07/22,Non-Chase ATM Fee-With,-3.00
07/26,Caresource KY 937-224-3300 OH Card,-148.24
07/26,Decluttr 678-766-1762 GA Card 1981,-127.18
07/27,Usps PO 20480900 3131 Louisville KY Card,-20.95
08/05,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
08/08,Target T- 3600 Mall Rd Louisville KY Card,-157.31
08/11,Petsmart # 1117 Louisville KY Card 1981,-110.75
08/15,Interest Payment,0.20
08/07,US Treasury Tax Payme 615-730-6367 TN Card 5765,562.12
08/08,Zelle Payment To Alin Eremia Jom99A0F2Fdd,39.00
09/19,Payment Thank You-Mobile,-277.67
10/05,Payment Thank You-Mobile,-689.99
10/16,REDEMPTION CREDIT,-74.68
09/15,MEIJER # 164 877-363-4537 KY,44.60
09/15,BOB EVANS REST #0379 LOUISVILLE KY,33.47
09/16,MARATHON PETRO156182 LOUISVILLE KY,10.00
09/20,THORNTONS #0155 LOUISVILLE KY,28.24
09/21,CHAU RESTAURANT LOUISVILLE KY,33.51
09/20,EL MEXICANO RESTAURANT JEFFERSONVILL IN,20.04
09/22,Mirage Louisville KY,51.00
09/22,THORNTONS #0155 LOUISVILLE KY,2.00
09/24,PARC-PARKING AUTHORITY O LOUISVILLE KY,1.00
09/26,JEFFERSON COUNTY CLERKS LOUISVILLE KY,34.00
09/27,FIESTA HABANERO AVON OH,31.00
09/28,PILOT 00000042 AVON OH,4.59
09/29,Subway 36763 Avon OH,10.91
09/28,FIESTA HABANERO AVON OH,30.00
09/30,CIRCLE K 02225 JEFFERSONVILL IN,36.48
10/01,SHELL OIL 10004999008 HOFFMAN ESTAT IL,45.39
10/01,FAIR OAKS FARMS FAIR OAKS IN,99.06
10/04,MARATHON PETRO179291 EDINBURGH IN,35.78
10/09,FIRST WATCH - 0490 SAINT LOUIS MO,87.47
10/09,QT 671 SAINT LOUIS MO,18.32
10/13,THOMAS CAR WASH - HURSTB LOUISVILLE KY,15.00
10/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
10/13,BP#6468524SHOP N GO LOUISVILLE KY,57.68
10/14,THORNTONS #0165 LOUISVILLE KY,39.67
10/19,Disneyplus 888-9057888 CA Card 1981,-8.23
10/25,Sams Scan-N-Go Jeffersontown KY Card 7068,-277.07
10/26,Zelle Payment From Giulio F Cantor 15629723702,725.00
10/26,Caresource KY 937-224-3300 OH Card,-979.93
11/03,Sunshine Pediatrics Louisville KY Card 1981,-50.00
11/03,Kroger #785 Louisville KY Card 1981,-40.94
11/07,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
11/08,Kroger #785 4915A Dixi Louisville KY Card,-7.45
11/08,Kroger #7 4915A Dixie Louisville KY Card,-110.11
11/08,Costco Whse #1238 Louisville KY Card 1981,-62.67
11/12,Costco Whse #1238 Louisville KY Card 1981,-180.06
11/12,Pauls Fru 3704 Taylors Louisville KY Card,-38.25
11/14,Wholefds Lou 101 4944 Louisville KY Card,-38.93
11/16,Petsmart # 1117 Louisville KY Card 1981,-120.18
11/16,Costco Whse #1238 Louisville KY Card 1981,-48.20
11/16,Wal-Mart Super Center Louisville KY Card,-111.88
11/08,COSTCO WHSE #1238 LOUISVILLE KY,1.59
11/08,CHICK-FIL-A #04264 812-288-2020 IN,19.29
10/23,-0- -0-  Purchases,27.49
10/23,-0- -0-  Cash Advances,28.74
10/23,-0- -0-  Balance Transfers,27.49
05/16,Kroger #3 5533 New Cut Louisville KY Card,-68.99
05/18,2948 Richland Ave Louisville KY Card 6815,-100.00
05/18,Pauls Fruit Mark 3704 Louisville KY Card,-54.02
05/18,Costco Whse #1238 Louisville KY Card 6815,-150.57
05/18,Costco Gas #1238 Louisville KY Card 6815,-32.28
05/19,Pauls Fru 3704 Taylors Louisville KY Card,-25.56
05/19,Kroger #7 4915A Dixie Louisville KY Card,-33.83
05/22,3901 S 7th St Louisville KY Card 7068,-200.00
05/22,Kroger #3 3039 Brecken Louisville KY Card,-46.84
05/23,Costco Whse #1238 Louisville KY Card 7068,-172.35
05/23,Costco Gas #1238 Louisville KY Card 7068,-34.78
05/23,Petsmart # 1117 Louisville KY Card 6815,-58.70
05/24,Kroger #3 3039 Brecken Louisville KY Card,-15.60
05/25,Pauls Fru 3704 Taylors Louisville KY Card,-30.66
05/29,Apple Cash 1Infiniteloop CA Card 6815,-24.00
05/80,Costco Whse #1238 Louisville KY Card 7068,-108.23
05/31,Kroger #7 4915A Dixie Louisville KY Card,-75.67
05/31,Sams Scan-N-Go Jeffersontown KY Card 6815,-138.78
06/01,Wm Superc Wal-Mart Sup Louisville KY,-64.86
06/02,Kroger #3 3039 Brecken Louisville KY Card,-18.47
06/05,Kroger #3 3039 Brecken Louisville KY Card,-78.83
06/05,Pauls Fru 3704 Taylors Louisville KY Card,-25.54
06/07,Autosave Savings 11410806914,-110.00
06/08,Costco Whse #1238 Louisville KY Card 6815,-185.18
06/08,Costco Gas #1238 Louisville KY Card 6815,-41.53
06/11,Wholefds Lou 101 4944 Louisville KY Card,-155.33
06/13,Petsmart # 1117 Louisville KY Card 6815,-99.34
06/13,Sams Scan-N-Go Jeffersontown KY Card 6815,-112.09
06/14,Costco Gas #1238 Louisville KY Card 6815,-31.74
06/14,Costco Whse #1238 Louisville KY Card 7068,-38.97
06/15,Costco Whse #1238 Louisville KY Card 7068,-98.73
06/07,Autosave Savings 11410806914,110.00
06/15,Interest Payment,0.04
